serial	gene_name	short_description	Curator_summary	Computational_description
555	AT5G22690			Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
556	AT5G22740	cellulose synthase-like A02	Encodes a beta-mannan synthase based on in vitro enzyme assays from heterologously expressed protein. CSLA2 synthesizes the backbone of galactoglucomannan in seed coat epidermal cells. Both CSLA2 and MUCI10, which may be part of a protein complex, are critical for mucilage architecture.	cellulose synthase-like A02;(source:Araport11)
557	AT5G22930	Protein of unknown function (DUF1635)		enabled-like protein (DUF1635);(source:Araport11)
558	AT5G23010		Encodes a methylthioalkylmalate synthase, catalyzes the condensation reactions of the first two rounds of methionine chain elongation in the biosynthesis of methionine-derived glucosinolates.The mRNA is cell-to-cell mobile.	methylthioalkylmalate synthase 1;(source:Araport11)
559	AT5G23020	2-isopropylmalate synthase 2	methylthioalkymalate synthase-like. Also known as 2-isopropylmalate synthase (IMS2).  encodes a methylthioalkylmalate synthase involved in the biosynthesis of aliphatic glucosinolates which accepts all the omega-methylthio-2-oxoalkanoic acids needed to form the known C3 to C8 glucosinolates in Arabidopsis. The mRNA is cell-to-cell mobile.	2-isopropylmalate synthase 2;(source:Araport11)
560	AT5G23110	Zinc finger, C3HC4 type (RING finger) family protein		Zinc finger, C3HC4 type (RING finger) family protein;(source:Araport11)
561	AT5G23300	pyrimidine d	dihydroorotate dehydrogenase, catalyses fourth step of pyrimidine biosynthesis	pyrimidine d;(source:Araport11)
562	AT5G24210			alpha/beta-Hydrolases superfamily protein;(source:Araport11)
563	AT5G24350		Member of MAG2 complex on the ER that is responsible for efficient transport of seed storage proteins, functions in protein transport between the ER and Golgi apparatus, contain a Zeste?White 10 (ZW10) domain and a Sec39 domain. Required for proper maturation of seed storage proteins.	neuroblastoma-amplified sequence protein;(source:Araport11)
564	AT5G24530	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	Encodes a putative 2OG-Fe(II) oxygenase that is defense-associated but required for susceptibility to downy mildew. The mRNA is cell-to-cell mobile.	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;(source:Araport11)
565	AT5G24770	vegetative storage protein 2	Has acid phosphatase activity dependent on the presence of divalent cations (Mg2+, Co2+, Zn2+, Mn2+) and anti-insect activity. Insects fed with the protein show a retarded development. Induced in response to abscisic acid, jasmonic acid, salt, water deficiency and wounding.	vegetative storage protein 2;(source:Araport11)
566	AT5G24810	ABC1 family protein		ABC1 family protein;(source:Araport11)
567	AT5G25040			Major facilitator superfamily protein;(source:Araport11)
568	AT5G25250	SPFH/Band 7/PHB domain-containing membrane-associated protein family	Encodes a protein that is involved in a membrane microdomain-dependent, but clathrin-independent, endocytic pathway required  for optimal seedling development. The mRNA is cell-to-cell mobile.	SPFH/Band 7/PHB domain-containing membrane-associated protein family;(source:Araport11)
569	AT5G25390	Integrase-type DNA-binding superfamily protein	encodes a member of the ERF (ethylene response factor) subfamily B-6 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 12 members in this subfamily including RAP2.11.	Integrase-type DNA-binding superfamily protein;(source:Araport11)
570	AT5G25980	glucoside glucohydrolase 2	Myrosinase (thioglucoside glucohydrolase) gene involved in glucosinoloate metabolism. The mRNA is cell-to-cell mobile.	glucoside glucohydrolase 2;(source:Araport11)
571	AT5G26600	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein		Pyridoxal phosphate (PLP)-dependent transferases superfamily protein;(source:Araport11)
572	AT5G26742	DEAD box RNA helicase (RH3)		DEAD box RNA helicase (RH3);(source:Araport11)
573	AT5G26860	lon protease 1	Encodes a member of the Lon protease-like proteins (Lon1/At5g26860, Lon2/At5g47040, Lon3/At3g05780, Lon4/At3g05790).  Lon is a multifunctional ATP-dependent protease which exists in bacteria, archaea and within organelles in eukaryotic cells.  Lon proteases are responsible for the degradation of abnormal, damaged and unstable proteins. The mRNA is cell-to-cell mobile.	lon protease 1;(source:Araport11)
574	AT5G27770	Ribosomal L22e protein family		Ribosomal L22e protein family;(source:Araport11)
575	AT5G28400			embryo defective protein;(source:Araport11)
576	AT5G28490	Protein of unknown function (DUF640)	Encodes a nuclear protein that mediates light regulation of seedling development in a phytochrome-dependent manner.	LIGHT-DEPENDENT SHORT HYPOCOTYLS-like protein (DUF640);(source:Araport11)
577	AT5G28770		BASIC LEUCINE ZIPPER protein which regulates the circadian oscillator gene PSEUDO RESPONSE REGULATOR7 (PRR7) to change the circadian phase in response to sugars. It upregulates PRR7 in response to low energy. bZIP63 and PRR7 are required for correct oscillator phase under light/dark cycles. bZIP protein BZO2H3 mRNA, partial cds	bZIP transcription factor family protein;(source:Araport11)
578	AT5G33290	xylogalacturonan deficient 1	Acts as a xylogalacturonan xylosyltransferase within the XGA biosynthesis pathway. Involved in pectin biosynthesis.	xylogalacturonan deficient 1;(source:Araport11)
579	AT5G35220	Peptidase M50 family protein	Membrane-associated and ATP-independent metalloprotease; EGY1 protein contains eight trans-membrane domains at its C-terminus, and carries out beta-casein degradation in an ATP-independent manner. EGY1 is required for development of both thylakoid grana and a well-organized lamellae system in chloroplast. Additionally, EGY1 is required for the accumulation of chlorophyll and chlorophyll a/b binding (CAB) proteins (both PS I and PS II) in chloroplast membranes, and for grana formation and normal chloroplast development. Loss of EGY1 function also has an effect on endodermal plastid biogenesis. Mutant studies suggest that EGY1 is involved in the regulation of nuclear gene expression response to ammonium stress and interacts with ABA signaling.	Peptidase M50 family protein;(source:Araport11)
580	AT5G35370	S-locus lectin protein kinase family protein		S-locus lectin protein kinase family protein;(source:Araport11)
581	AT5G36220		This gene is a member of the CYP81D family of cytochrome p450s. It was originally called CYP91A1, but was later renamed to CYP81D1.	cytochrome p450 81d1;(source:Araport11)
582	AT5G38420	Ribulose bisphosphate carboxylase (small chain) family protein	Encodes a member of the Rubisco small subunit (RBCS) multigene family: RBCS1A (At1g67090), RBCS1B (At5g38430), RBCS2B (At5g38420), and RBCS3B (At5g38410). Activated by OXS2 under the treatment of salt.	Ribulose bisphosphate carboxylase (small chain) family protein;(source:Araport11)
583	AT5G38430		Encodes a member of the Rubisco small subunit (RBCS) multigene family: RBCS1A (At1g67090), RBCS1B (At5g38430), RBCS2B (At5g38420), and RBCS3B (At5g38410).	Ribulose bisphosphate carboxylase (small chain) family protein;(source:Araport11)
584	AT5G38720		RRP7 shares limited sequence similarity to human and yeast RRP7. In Arabidopsis RRP7 functions in 18S ribosomal RNA maturation.	ribosomal RNA-processing 7 protein;(source:Araport11)
585	AT5G39020	Malectin/receptor-like protein kinase family protein	Involved in growth adaptation upon exposure to metal ions. Contributes together with the other MDS genes to the complex network of CrRLK1Ls that positively and negatively affect growth.	Malectin/receptor-like protein kinase family protein;(source:Araport11)
586	AT5G39030		Involved in growth adaptation upon exposure to metal ions. Contributes together with the other MDS genes to the complex network of CrRLK1Ls that positively and negatively affect growth.	Protein kinase superfamily protein;(source:Araport11)
587	AT5G39840	ATP-dependent RNA helicase, mitochondrial, putative		ATP-dependent RNA helicase;(source:Araport11)
588	AT5G40060			Disease resistance protein (NBS-LRR class) family;(source:Araport11)
589	AT5G40170	receptor like protein 54		receptor like protein 54;(source:Araport11)
590	AT5G40380		Encodes a cysteine-rich receptor-like protein kinase.	cysteine-rich RLK (RECEPTOR-like protein kinase) 42;(source:Araport11)
591	AT5G40450		Encodes a member of a plant gene family, APK_ORTHOMCL5144,of unknown function. RBB1 is localized to the cytosol and involved in vacuolar biogenesis and organization. RBB1 mutants have increased number of vacuolar bulbs and fewer trans-vacuolar strands.	A-kinase anchor-like protein;(source:Araport11)
592	AT5G40480	embryo defective 3012		embryo defective 3012;(source:Araport11)
593	AT5G40850		Encodes a urophorphyrin III methylase that  catalyzes S-adenosyl-L-methionine-dependent transmethylation in a multistep process involving the formation of a covalently linked complex with S-adenosyl-L-methionine.The mRNA is cell-to-cell mobile.	urophorphyrin methylase 1;(source:Araport11)
594	AT5G40890	chloride channel A	Encodes a member of the voltage-dependent chloride channel. Also functions as a NO3-/H+ exchanger that serves to accumulate nitrate nutrient in vacuoles.  Mutants homozygous for the T-DNA insertion mutation have reduced nitrate uptake capacity in high nitrate environment and exhibit hypersensitivity to chlorate. Role in cytosolic pH homeostasis.	chloride channel A;(source:Araport11)
595	AT5G40910			Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
596	AT5G41740			Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
597	AT5G41750	Disease resistance protein (TIR-NBS-LRR class) family		Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
598	AT5G43630		Encodes a zinc knuckle protein that negatively regulates morning specific growth. The role of TZP in hypocotyl elongation was established through a QTL analysis of BayXSha RIL populations. The Bay-0 allele contains a deletion causing a frameshift mutation. TZP is under circadian control and acts to regulate morning-specific hypocotyl growth.The mRNA is cell-to-cell mobile. Gene ontology analysis of common promoter targets suggests an active role in the transcriptional regulation of gene expression in response to environmental, biotic, abiotic, and endogenous stimuli. Promoter regions show a huge over-representation in proteins involved in transcription, clock, flowering, and light signaling components, reflecting its involvement in regulating gene expression in response to environmental stimuli such as light and temperature. Coassociates with and regulates the expression of light-regulated loci as well as transcriptional regulators to shape plant development in response to environmental stimuli. Requires, at least in part, ZFHD10 for function with regard to blue-light-regulated hypocotyl elongation.	zinc knuckle (CCHC-type) family protein;(source:Araport11)
599	AT5G44020	HAD superfamily, subfamily IIIB acid phosphatase 		HAD superfamily, subfamily IIIB acid phosphatase;(source:Araport11)
600	AT5G44260	Zinc finger C-x8-C-x5-C-x3-H type family protein	Encodes a Tandem CCCH Zinc Finger protein. Interacts and co-localizes with MARD1 and RD21A in processing bodies (PBs) and stress granules (SGs).	Zinc finger C-x8-C-x5-C-x3-H type family protein;(source:Araport11)
601	AT5G44290			Protein kinase superfamily protein;(source:Araport11)
602	AT5G44400	FAD-binding Berberine family protein		FAD-binding Berberine family protein;(source:Araport11)
603	AT5G44490			FBD, F-box, Skp2-like and Leucine Rich Repeat domains containing protein;(source:Araport11)
604	AT5G44550	Uncharacterised protein family (UPF0497)		Uncharacterized protein family (UPF0497);(source:Araport11)
605	AT5G45150			RNAse THREE-like protein 3;(source:Araport11)
606	AT5G45260		Confers resistance to Ralstonia solanacearum. Similar to NBLS-TIR resistance genes,and also contains similarity to transcription factors. Interacts with pathogen effector protein AvrPop2.	Disease resistance protein (TIR-NBS-LRR class);(source:Araport11)
607	AT5G45380	solute:sodium symporters;urea transmembrane transporters		urea-proton symporter DEGRADATION OF UREA 3 (DUR3);(source:Araport11)
608	AT5G45500			RNI-like superfamily protein;(source:Araport11)
609	AT5G45510	Leucine-rich repeat (LRR) family protein		Leucine-rich repeat (LRR) family protein;(source:Araport11)
610	AT5G45820	CBL-interacting protein kinase 20	Encodes a CBL-interacting serine/threonine protein kinase comprised of an N-terminal kinase catalytic domain similar to SNF1/AMPK and a unique C-terminal regulatory domain.	CBL-interacting protein kinase 20;(source:Araport11)
611	AT5G46260	disease resistance protein (TIR-NBS-LRR class) family		disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
612	AT5G46330		Encodes a leucine-rich repeat serine/threonine protein kinase that is expressed ubiquitously. FLS2 is involved in MAP kinase signalling relay involved in innate immunity. Essential in the perception of flagellin, a potent elicitor of the defense response.  FLS2 is directed for degradation by the bacterial ubiquitin ligase AvrPtoB.The mRNA is cell-to-cell mobile.	Leucine-rich receptor-like protein kinase family protein;(source:Araport11)
613	AT5G46410		Encodes a SCP1-like small phosphatase (SSP).  Three SSPs form a unique group with long N-terminal extensions: AT5G46410 (SSP4), AT5G11860 (SSP5), AT4G18140 (SSP4b). SSP4 and SSP4b were localized exclusively in the nuclei, whereas SSP5 accumulated in both nuclei and cytoplasm. All three SSPs encodes active CTD phosphatases like animal SCP1 family proteins, with distinct substrate specificities: SSP4 and SSP4b could dephosphorylate both Ser2-PO(4) and Ser5-PO(4) of CTD, whereas SSP5 dephosphorylated only Ser5-PO(4).The mRNA is cell-to-cell mobile.	SCP1-like small phosphatase 4;(source:Araport11)
614	AT5G46510			Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
615	AT5G47330	alpha/beta-Hydrolases superfamily protein		alpha/beta-Hydrolases superfamily protein;(source:Araport11)
616	AT5G47480		RGPR-related protein; SEC16A homolog. Part of endomembrane trafficking system.	RGPR-like protein;(source:Araport11)
617	AT5G47910	respiratory burst oxidase homologue D	NADPH/respiratory burst oxidase protein D (RbohD).Interacts with AtrbohF gene to fine tune the spatial control of ROI production and hypersensitive response to cell in and around infection site. The mRNA is cell-to-cell mobile.	respiratory burst oxidase homologue D;(source:Araport11)
618	AT5G48380	BAK1-interacting receptor-like kinase 1	Encodes a BAK1-interacting receptor-like kinase named BIR1.  Negatively regulates multiple plant resistance signaling pathways, one of which is the SOBIR1(AT2G31880)-dependent pathway.	BAK1-interacting receptor-like kinase 1;(source:Araport11)
619	AT5G49570	peptide-N-glycanase 1	Encodes a protein that has peptide:N-glycanase activity in enzymatic assay in heterologous systems (although the activity was not detected in wild-type plants).	peptide-N-glycanase 1;(source:Araport11)
620	AT5G49630	amino acid permease 6	Is a high affinity amino acid transporter capable of transporting aspartate and tryptophan. May be involved in the amino acid uptake from xylem.	amino acid permease 6;(source:Araport11)
621	AT5G49680	Golgi-body localisation protein domain ;RNA pol II promoter Fmp27 protein domain	Conserved among eukaryotes, similar to Arabidopsis SABRE. The phenotype of the kip/sab double mutant suggests related functions for both genes, however, the KIP protein is mostly required for tip-growth. Predicted to be targeted to the secretory pathway. mRNA was detected in all organs, with most abundance in pollen and roots.	SABRE-like protein;(source:Araport11)
622	AT5G49760	Leucine-rich repeat protein kinase family protein	Leucine rich receptor kinase. Encodes a receptor of extracellular reactive oxygen species.	Leucine-rich repeat protein kinase family protein;(source:Araport11)
623	AT5G49890	chloride channel C	member of Anion channel protein family	chloride channel C;(source:Araport11)
624	AT5G49900			Beta-glucosidase, GBA2 type family protein;(source:Araport11)
625	AT5G49910	chloroplast heat shock protein 70-2	Stromal heat shock protein involved in protein import into chloroplast. The mRNA is cell-to-cell mobile.	chloroplast heat shock protein 70-2;(source:Araport11)
626	AT5G51070	Clp ATPase	ATP-dependent Clp protease regulatory subunit The mRNA is cell-to-cell mobile.	Clp ATPase;(source:Araport11)
627	AT5G51100		Fe superoxide dismutase whose mRNA levels are increased in response to exposure to UV-B.	Fe superoxide dismutase 2;(source:Araport11)
628	AT5G51750	subtilase 1.3		subtilase 1.3;(source:Araport11)
629	AT5G52940	Protein of unknown function (DUF295)	DUF295 domain protein.	hypothetical protein (DUF295);(source:Araport11)
630	AT5G53460	NADH-dependent glutamate synthase 1	NADH-dependent glutamate synthase The mRNA is cell-to-cell mobile.	NADH-dependent glutamate synthase 1;(source:Araport11)
631	AT5G53750	CBS domain-containing protein		CBS domain-containing protein;(source:Araport11)
632	AT5G54710			Ankyrin repeat family protein;(source:Araport11)
633	AT5G55390		Encodes EDM2 (enhanced downy mildew 2).  The predicted protein bears typical features of transcriptional regulators.  EDM2 contains two putative bipartite nuclear localization signals (NLS) two zinc-finger-like motifs, a Proline-rich region and a large aspartic acid-rich region.  Both zinc-finger-like stretches resemble the PHD (plant homeodomain) finger motif.  Mutations in EDM2 comprise RPP7 mediated resistance against Hyaloperonospora parasitica isolate Hiks1 (HpHiks1).  EDM2 may function as a direct or indirect regulator of RPP7 expression.	ENHANCED DOWNY MILDEW 2;(source:Araport11)
634	AT5G55860	Plant protein of unknown function (DUF827)	WEB1/PMI2 related protein involved in mecahnotransduction.TREPH1 is phosphorylated at position S625 in response to touch, and this is required for mechanosensitive growth response.	weak chloroplast movement under blue light protein (DUF827);(source:Araport11)
635	AT5G56610	Phosphotyrosine protein phosphatases superfamily protein	Encodes a phosphatidylglycerophosphate (PGP) phosphatase involved in the synthesis of plastidial Phosphatidylglycerol (PG) in conjunction with PGPP1 and PTPMT1 in root. PTPMT2.2 showed rather low expression levels and was detected only in stem and flower.	Phosphotyrosine protein phosphatases superfamily protein;(source:Araport11)
636	AT5G56860	GATA type zinc finger transcription factor family protein	Encodes a member of the GATA factor family of zinc finger transcription factors. Modulate chlorophyll biosynthesis and glutamate synthase (GLU1/Fd-GOGAT) expression.	GATA type zinc finger transcription factor family protein;(source:Araport11)
637	AT5G56950	nucleosome assembly protein 1;3	Encodes a member of a small gene family of proteins with similarity to nucleosome assembly proteins.May function in nucleotide excision repair. Loss of function mutations have no obvious visible phenotypes but do seem to affect transcription of NER related genes. Plants mutated in three ubiquitously expressed NAP1 genes (NAP1;1~NAP1;3) and organ-specifically expressed NAP1;4 gene show hypersensitivity to genotoxic stresses including UV and DSB-inducing agent Bleomycin. The NAP1 genes act synergistically with NRP genes in promoting somatic homologous recombination.	nucleosome assembly protein 1;(source:Araport11)
638	AT5G57110		Arabidopsis-autoinhibited Ca2+ -ATPase, isoform 8, contains all of the characteristic motifs of Ca2+ -transporting P-type Ca2+ -ATPases and is localized to the plasma membrane.	autoinhibited Ca2+ -ATPase, isoform 8;(source:Araport11)
639	AT5G58120	Disease resistance protein (TIR-NBS-LRR class) family	DM10 is a singleton TIR-NLR, and causal QTL responsible for  severe hybrid necrosis.	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
640	AT5G58390	Peroxidase superfamily protein		Peroxidase superfamily protein;(source:Araport11)
641	AT5G58670	phospholipase C1	phosphatidylinositol-specific phospholipase C is induced to a significant extent under various environmental stresses, such as dehydration, salinity, and low temperature. May play a role in secondary ABA response.  There are two genes called ATPLC1, one corresponding to AT4g38530 and one corresponding ot AT5g58670 (this one).	phospholipase C1;(source:Araport11)
642	AT5G59670			Leucine-rich repeat protein kinase family protein;(source:Araport11)
643	AT5G60300	Concanavalin A-like lectin protein kinase family protein	Encodes a legume-type lectin receptor kinase that is structurally distinct from the mammalian extracellular ATP receptors and acts as an extracellular ATP receptor in Arabidopsis. Extracellular ATP acts as a damage-associated molecular pattern in plants, and its signaling through P2K1 is important for mounting an effective defense response against various pathogenic microorganisms. It also plays a role in cell wall-plasma membrane adhesion.	Concanavalin A-like lectin protein kinase family protein;(source:Araport11)
644	AT5G60900	receptor-like protein kinase 1	Encodes a receptor-like protein kinase.	receptor-like protein kinase 1;(source:Araport11)
645	AT5G61030		Encodes a glycine-rich RNA binding protein that is involved in C-> U RNA editing in mitochondria. Gene expression is induced by cold.The mRNA is cell-to-cell mobile.	glycine-rich RNA-binding protein 3;(source:Araport11)
646	AT5G61140	U5 small nuclear ribonucleoprotein helicase	Encodes a predicted protein with 30% identity with MER3/RCK. Similar to yast Brr2p DEAD/DExH box ATP-dependent RNA helicase.	U5 small nuclear ribonucleoprotein helicase;(source:Araport11)
647	AT5G61520	Major facilitator superfamily protein		Major facilitator superfamily protein;(source:Araport11)
648	AT5G61660	glycine-rich protein		glycine-rich protein;(source:Araport11)
649	AT5G61910			DCD (Development and Cell Death) domain protein;(source:Araport11)
650	AT5G62050	homolog of yeast oxidase assembly 1 (OXA1)	essential factor for protein sorting and assembly into membranes	inner membrane OXA1-like protein;(source:Araport11)
651	AT5G62730			Major facilitator superfamily protein;(source:Araport11)
652	AT5G63530	farnesylated protein 3	Farnesylated protein that binds metals.	farnesylated protein 3;(source:Araport11)
653	AT5G63850	amino acid permease 4	Amino acid transporter whose expression is downregulated by dehydration.	amino acid permease 4;(source:Araport11)
654	AT5G63930			Leucine-rich repeat protein kinase family protein;(source:Araport11)
655	AT5G64120	Peroxidase superfamily protein	Encodes a cell wall bound peroxidase that is induced by hypo-osmolarity and is involved in the lignification of cell walls. Class III peroxidase cell wall-targeted protein localized to the micropylar endosperm facing the radicle. Involved in seed germination.	Peroxidase superfamily protein;(source:Araport11)
656	AT5G66620			DA1-related protein 6;(source:Araport11)
657	AT5G67180			target of early activation tagged (EAT) 3;(source:Araport11)
